time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.050000,2,2,10,0.56835151,0.89276451,51.151638,0.89276451,51.151638,4.52214670,3.93519998,4.52214670,3.93519998,0.21996947,12.603322,0.27384022,15.689889,9.64773560,552.774531,10.77414989,617.313317,0.67279504,38.548316,0.61892429,35.461750,-0.13686669,-7.841884,-0.16988897,-9.733921,-5.93730211,-340.182353,-6.60445881,-378.407616,7.841884,9.733921,0.09384071,0
0.055000,2,3,11,0.56835151,0.89276451,51.151638,0.89276451,51.151638,3.93519998,3.33527184,3.93519998,3.33527184,0.27384022,15.689889,0.33226994,19.037665,10.77414989,617.313317,11.68594170,669.555139,0.61892429,35.461750,0.56049457,32.113973,-0.16988897,-9.733921,-0.20559122,-11.779509,-6.60445881,-378.407616,-7.14044952,-409.117622,9.733921,11.779509,0.09384071,0
0.060000,3,0,12,0.14594756,0.22925390,13.135281,0.22925390,13.135281,2.73106527,-2.57701969,2.73106527,-2.57701969,0.33226994,19.037665,0.38553298,22.089412,11.68594170,669.555139,10.65260792,610.349474,-0.10301603,-5.902384,-0.15627907,-8.954131,-0.20559122,-11.779509,-0.23788731,-13.629939,-7.14044952,-409.117622,-6.45921898,-370.085986,11.779509,13.629939,0.10089899,0
0.065000,3,1,13,0.14594756,0.22925390,13.135281,0.22925390,13.135281,-2.57701969,-2.84812403,-2.57701969,-2.84812403,0.38553298,22.089412,0.43327183,24.824647,10.65260792,610.349474,9.54777336,547.047117,-0.15627907,-8.954131,-0.20401792,-11.689366,-0.23788731,-13.629939,-0.26647264,-15.267757,-6.45921898,-370.085986,-5.71706486,-327.563688,13.629939,15.267757,0.10089899,0
0.070000,3,2,14,0.14594756,0.22925390,13.135281,0.22925390,13.135281,-2.84812403,-3.06430960,-2.84812403,-3.06430960,0.43327183,24.824647,0.47522485,27.228378,9.54777336,547.047117,8.39060307,480.746143,-0.20401792,-11.689366,-0.24597095,-14.093097,-0.26647264,-15.267757,-0.29108343,-16.677852,-5.71706486,-327.563688,-4.92215586,-282.018757,15.267757,16.677852,0.10089899,0
0.075000,3,3,15,0.14594756,0.22925390,13.135281,0.22925390,13.135281,-3.06430960,-3.22635841,-3.06430960,-3.22635841,0.47522485,27.228378,0.51122320,29.290932,8.39060307,480.746143,7.19966459,412.510395,-0.24597095,-14.093097,-0.28196929,-16.155650,-0.29108343,-16.677852,-0.31150496,-17.847920,-4.92215586,-282.018757,-4.08430481,-234.013428,16.677852,17.847920,0.10089899,0
0.080000,4,0,16,-0.76866066,-1.20740938,-69.179462,-1.20740938,-69.179462,-3.33570433,-10.00000000,-3.33570433,-10.00000000,0.51122320,29.290932,0.52944613,30.335028,7.19966459,412.510395,3.64458132,208.819128,-1.71863258,-98.470393,-1.73685551,-99.514490,-0.31150496,-17.847920,-0.32041156,-18.358230,-4.08430481,-234.013428,-1.78132176,-102.062219,17.847920,18.358230,0.09867156,0
0.085000,4,1,17,-0.76866066,-1.20740938,-69.179462,-1.20740938,-69.179462,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.52944613,30.335028,0.53020114,30.378287,3.64458132,208.819128,0.15100566,8.651987,-1.73685551,-99.514490,-1.73761052,-99.557749,-0.32041156,-18.358230,-0.31779918,-18.208552,-1.78132176,-102.062219,0.52247733,29.935746,18.358230,18.208552,0.09867156,0
0.090000,4,2,18,-0.76866066,-1.20740938,-69.179462,-1.20740938,-69.179462,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.53020114,30.378287,0.51378822,29.437897,0.15100566,8.651987,-3.28257823,-188.077878,-1.73761052,-99.557749,-1.72119761,-98.617358,-0.31779918,-18.208552,-0.30381200,-17.407145,0.52247733,29.935746,2.79743648,160.281304,18.208552,17.407145,0.09867156,0
0.095000,4,3,19,-0.76866066,-1.20740938,-69.179462,-1.20740938,-69.179462,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.51378822,29.437897,0.48050004,27.530624,-3.28257823,-188.077878,-6.65763855,-381.454590,-1.72119761,-98.617358,-1.68790942,-96.710086,-0.30381200,-17.407145,-0.27874163,-15.970719,2.79743648,160.281304,5.01407290,287.285215,17.407145,15.970719,0.09867156,0
